FLOW_UUID,FLOW,INTERACTION_UUID,CHANNEL_SID,CHANNEL_CREATION_DATETIME,NAVAN_CONVERSATION_UUID,GENESYS_CONVERSATION_UUID,FLOW_START_DATETIME,FLOW_END_DATETIME,FLOW_INDEX,IS_FLOW_ABANDONED,BOOKING_UUID,BOOKING_STATUS,BOOKING_TYPE,BOOKING_PROVIDER,BOOKING_MODIFICATION_STATUS,IS_BOOKING_CHANGEABLE,IS_BOOKING_CANCELLABLE,DOMAIN,PRODUCT,TASK,EXPERIENCE,REASON,THINKING,OUTCOME,EXIT_CODE_ARRAY
0b3ebc0701282f30f058f9c3fb27c3e1,cancel_booking,d565fd0f1459d1d013de30fa435a1522,9093278c-e035-4275-be7a-04083c5b4267,2025-07-06 23:13:34.895,9093278c-e035-4275-be7a-04083c5b4267,b6fe152d-60af-41b6-91fb-1b0682ed4a67,2025-07-06 23:14:15.880,2025-07-06 23:15:56.103,1,false,e3490fac-34ea-4c48-841d-8ef814029818,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-06 23:15:56.098"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-06 23:15:56.103"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
3e45d01972e6f7fc8029f4d40b62cd66,cancel_booking,b332f4aded5bbe44fc4329dbdba64b03,4e026411-b492-4abe-b845-89df22aff95b,2025-07-23 15:40:30.101,4e026411-b492-4abe-b845-89df22aff95b,73557817-d798-4176-8454-11e62ade063b,2025-07-23 15:41:22.324,2025-07-23 15:42:55.225,1,false,55cef478-00e1-48e5-bde7-737521fe6dc3,ticketed,flight,farelogix,,false,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-23 15:42:55.218"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-23 15:42:55.225"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
9fda4cbd39ce045196f070a824d424a0,cancel_booking,f76a21feade858002cc88a38eeb4c021,aebc9b60-96cc-4f8c-bf76-89843e26e9a5,2025-05-27 16:57:49.067,aebc9b60-96cc-4f8c-bf76-89843e26e9a5,e714adae-639f-42cf-8ef0-c31b787fe67d,2025-05-27 16:59:26.425,2025-05-27 17:00:20.487,1,false,5e87d987-f661-407a-8c94-67536af3b906,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-27 17:00:20.484"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-27 17:00:20.487"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
587208db26612ea4085de9eb92cb4677,cancel_booking,ae858e198ca770afae33a4f8e3eec055,a204d946-787e-45f0-a646-a99b46f4aea3,2025-08-01 14:44:50.563,a204d946-787e-45f0-a646-a99b46f4aea3,6aee5f30-704d-4cb1-a5a9-4b0131c20f9b,2025-08-01 14:45:53.219,2025-08-01 14:48:06.879,1,false,4cab2f6a-f37b-4e24-a36d-6a6f983880ac,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-08-01 14:48:06.876"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-08-01 14:48:06.879"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
994b3106b4311884a70b278e6ddea252,cancel_booking,abb182e9acd24f4eb34336eae2c09710,09274f7a-d42b-4bbb-b4b9-56118544ca28,2025-07-22 17:22:31.858,09274f7a-d42b-4bbb-b4b9-56118544ca28,5ff2dfdb-246d-4f9c-8570-c35fc2eac082,2025-07-22 17:23:24.646,2025-07-22 17:23:32.973,2,false,96448dc3-ddbb-46a5-a5ad-5ce2195e4019,ticketed,flight,tripeur,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-22 17:23:32.969"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-22 17:23:32.973"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
3d15bbd2864e3468181a806c45502aed,cancel_booking,3189b106589fea81fa2ff09203e48bf2,a7308d36-e3a1-4643-be1f-4fe38ff7121b,2025-05-10 15:02:45.410,a7308d36-e3a1-4643-be1f-4fe38ff7121b,3dee105c-19c4-416e-893d-e9b2af690e75,2025-05-10 15:04:38.449,2025-05-10 15:05:00.513,1,false,6ac6be44-75eb-48d9-8bdf-27bff4a027ff,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-05-10 15:05:00.509"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-05-10 15:05:00.513"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
38fffc32794d36257117dfc423b5023e,cancel_booking,da923607612f1ebc1cf77f49a2a32274,8d7d9ce7-c37c-49e5-9a3a-5be6b3c559f5,2025-07-14 01:04:23.452,8d7d9ce7-c37c-49e5-9a3a-5be6b3c559f5,f37cf28d-91de-414e-b3da-e662918a1c21,2025-07-14 01:06:51.412,2025-07-14 01:09:19.296,1,false,6b23754e-0171-4d96-b730-e65f0be88ea6,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-14 01:09:19.292"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-14 01:09:19.296"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
e59218c694eb33e51ae3e7d1bb035fcb,cancel_booking,9aa3ec7cd0b111c2dde7e459eb77476e,c5a521e4-61e6-4651-973d-1be788428c81,2025-07-03 14:22:08.249,c5a521e4-61e6-4651-973d-1be788428c81,a3ee1ba9-8400-45db-8638-110ec081d5e7,2025-07-03 14:23:25.033,2025-07-03 14:24:17.452,1,false,538c7362-e716-4403-a191-3fc8d05945b9,ticketed,flight,sabre,,false,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-03 14:24:17.446"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-03 14:24:17.452"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
c57d21ff66ca5640e0210942be340d57,cancel_booking,3028dccce477a84e2a0096db0afc7293,d6b380e2-0f90-4c7a-99ad-194e80f78268,2025-06-06 15:44:49.433,d6b380e2-0f90-4c7a-99ad-194e80f78268,196c6d47-60e3-437c-8ffc-d5f1c67a6e9e,2025-06-06 15:47:17.449,2025-06-06 15:47:47.139,1,false,6dd8e568-f39c-4f42-86b2-289eec5da0aa,ticketed,flight,farelogix,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-06-06 15:47:47.135"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-06-06 15:47:47.139"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
6f6bd5caf109e2749c0b73338d57e068,cancel_booking,3095fb2ab0c11dd9d75da18aa123c2b3,c52f688f-2656-432f-9ffa-f530f9a01788,2025-07-03 13:18:13.375,c52f688f-2656-432f-9ffa-f530f9a01788,9e649c57-69a7-4cbd-8bb1-04037289f271,2025-07-03 13:19:07.544,2025-07-03 13:19:22.856,1,false,95b27708-c56f-414d-967f-47c2cd6f2a35,ticketed,flight,sabre,,true,true,travel,flight,cancel,transactional,,,agent,"[
  {
    ""event_time"": ""2025-07-03 13:19:22.851"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""reason"": ""user_asked_for_agent"",
    ""task"": ""cancel"",
    ""thinking"": ""user asked to speak to an agent""
  },
  {
    ""event_time"": ""2025-07-03 13:19:22.856"",
    ""outcome"": ""agent"",
    ""product"": ""flight"",
    ""task"": ""cancel""
  }
]"
